T,Pressure,Tpot,Tdew,VPmax,VPdef,VPact,Date
-2.89,1008.12,269.64,-3.65,4.93,0.27,4.66,2020-01-01 08:10:00
-3.02,1008.12,269.51,-3.79,4.89,0.27,4.61,2020-01-01 08:20:00
-2.84,1008.12,269.7,-3.56,4.95,0.26,4.69,2020-01-01 08:30:00
-2.91,1008.04,269.63,-3.75,4.93,0.3,4.63,2020-01-01 08:40:00
-3.11,1007.96,269.44,-3.99,4.85,0.31,4.54,2020-01-01 08:50:00
-3.08,1008.07,269.46,-3.9,4.86,0.29,4.57,2020-01-01 09:00:00
-3.03,1008.17,269.5,-3.89,4.88,0.3,4.58,2020-01-01 09:10:00
-2.95,1008.28,269.58,-3.86,4.91,0.32,4.59,2020-01-01 09:20:00
-3.01,1008.2,269.52,-3.99,4.89,0.35,4.54,2020-01-01 09:30:00
-2.84,1008.31,269.69,-3.89,4.95,0.38,4.58,2020-01-01 09:40:00
-2.67,1008.41,269.84,-3.71,5.02,0.38,4.64,2020-01-01 09:50:00
-1.93,1008.45,270.58,-3.18,5.3,0.47,4.83,2020-01-01 10:00:00
-1.53,1008.5,270.98,-3.33,5.46,0.69,4.77,2020-01-01 10:10:00
-1.25,1008.46,271.25,-3.27,5.57,0.77,4.8,2020-01-01 10:20:00
-1.24,1008.49,271.26,-3.25,5.58,0.78,4.8,2020-01-01 10:30:00
-1.32,1008.37,271.19,-3.29,5.54,0.75,4.79,2020-01-01 10:40:00
-1.03,1008.36,271.49,-3.07,5.67,0.8,4.87,2020-01-01 10:50:00
-1.14,1008.34,271.37,-3.08,5.62,0.75,4.86,2020-01-01 11:00:00
-0.83,1008.21,271.7,-2.89,5.75,0.82,4.93,2020-01-01 11:10:00
-0.65,1008.02,271.89,-2.77,5.82,0.84,4.98,2020-01-01 11:20:00
-0.43,1008.03,272.11,-2.63,5.92,0.89,5.03,2020-01-01 11:30:00
-0.4,1007.84,272.16,-2.63,5.93,0.9,5.03,2020-01-01 11:40:00
-0.06,1007.69,272.5,-2.41,6.08,0.97,5.11,2020-01-01 11:50:00
0.68,1007.62,273.24,-2.03,6.42,1.15,5.26,2020-01-01 12:00:00
0.93,1007.59,273.5,-2.03,6.53,1.27,5.26,2020-01-01 12:10:00
1.23,1007.56,273.8,-1.8,6.68,1.33,5.35,2020-01-01 12:20:00
1.7,1007.44,274.27,-1.66,6.91,1.5,5.41,2020-01-01 12:30:00
1.98,1007.29,274.57,-1.52,7.05,1.59,5.46,2020-01-01 12:40:00
2.62,1007.12,275.22,-1.29,7.38,1.82,5.56,2020-01-01 12:50:00
2.83,1007.04,275.44,-1.29,7.49,1.93,5.56,2020-01-01 13:00:00
2.87,1006.98,275.48,-1.26,7.51,1.95,5.57,2020-01-01 13:10:00
3.09,1006.83,275.71,-1.13,7.63,2.01,5.62,2020-01-01 13:20:00
3.86,1006.79,276.48,-0.91,8.06,2.34,5.71,2020-01-01 13:30:00
3.84,1006.69,276.48,-0.97,8.05,2.36,5.69,2020-01-01 13:40:00
4.03,1006.6,276.67,-0.92,8.15,2.45,5.71,2020-01-01 13:50:00
3.7,1006.41,276.35,-1.09,7.97,2.33,5.64,2020-01-01 14:00:00
3.45,1006.3,276.11,-1.06,7.83,2.18,5.65,2020-01-01 14:10:00
3.64,1006.26,276.3,-1.03,7.93,2.27,5.66,2020-01-01 14:20:00
3.89,1006.19,276.56,-1,8.08,2.4,5.68,2020-01-01 14:30:00
3.87,1006.06,276.55,-1,8.06,2.39,5.68,2020-01-01 14:40:00
4.32,1006.01,277.01,-0.83,8.32,2.58,5.75,2020-01-01 14:50:00
4.58,1006.01,277.27,-0.75,8.48,2.7,5.78,2020-01-01 15:00:00
4.2,1006.03,276.89,-0.86,8.25,2.52,5.73,2020-01-01 15:10:00
4.07,1006.02,276.76,-0.82,8.18,2.43,5.75,2020-01-01 15:20:00
4.44,1006.02,277.13,-0.69,8.39,2.59,5.81,2020-01-01 15:30:00
4.5,1005.99,277.19,-0.73,8.43,2.64,5.79,2020-01-01 15:40:00
4.34,1005.87,277.04,-0.91,8.34,2.62,5.71,2020-01-01 15:50:00
3.74,1005.83,276.44,-1.13,7.99,2.36,5.62,2020-01-01 16:00:00
3.23,1005.78,275.93,-1.22,7.7,2.12,5.59,2020-01-01 16:10:00
2.99,1005.71,275.7,-1.28,7.57,2.01,5.56,2020-01-01 16:20:00
2.89,1005.71,275.6,-1.32,7.52,1.98,5.54,2020-01-01 16:30:00
2.77,1005.76,275.48,-1.38,7.46,1.94,5.52,2020-01-01 16:40:00
2.6,1005.88,275.3,-1.42,7.37,1.86,5.5,2020-01-01 16:50:00
2.09,1005.96,274.79,-1.57,7.11,1.66,5.44,2020-01-01 17:00:00
1.63,1005.96,274.33,-1.62,6.88,1.45,5.42,2020-01-01 17:10:00
1.26,1006.03,273.95,-1.91,6.69,1.38,5.31,2020-01-01 17:20:00
1.03,1006,273.72,-2.08,6.58,1.34,5.24,2020-01-01 17:30:00
0.99,1005.96,273.68,-1.84,6.56,1.23,5.33,2020-01-01 17:40:00
0.85,1005.93,273.55,-1.93,6.5,1.2,5.3,2020-01-01 17:50:00
